Comment,Designator,Footprint,JLCPCB Part #
"FT12095-G/5V","BUZZER1","BUZ-TH_BD12.0-P7.60-D0.6-FD",""
"CL21B106KAYQNNE","C1","C0805",""
"C0805C225K4RAC3123","C2","",""
"0805PC103KAZ1A","C3","",""
"3mm带座LED-白","HL1, HL2","","C9900021276"
"204-10SDRD/S530-A3-L","TL1, TL2","","C84774"
"B2B-PH-K-S(LF)(SN)","J1","",""
"5990110007F","LED1","",""
"SS12F17","ON/OFF","","C5274464"
"SI2300DS-T1-GE3-VB","Q4","SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR",""
"0805W8F4701T5E","R1","","C17673"
"0805W8F5102T5E","R11","","C17737"
"0805W8F2400T5E","R12, R13","","C17572"
"0805W8F1500T5E","R14, R15","","C17471"
"0805W8F4702T5E","R2, R9","","C17713"
"0805W8F1002T5E","R8","","C17414"
"DRV8833CPWPR","U2","TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL-EP-1",""
