Designator,Mid X,Mid Y,Layer,Rotation,Package,Value
"BUZZER1","-118.8032mm","-5.7397mm","Top",341,"BUZ-TH_BD12.0-P7.60-D0.6-FD",""
"C1","-123.1416mm","1.6278mm","Top",0,"C0805","10µF"
"C2","-120.0327mm","10.7301mm","Top",180,"","2.2uF"
"C3","-117.1033mm","1.6278mm","Top",180,"","0.01uF"
"HL1","-157.2226mm","13.4323mm","Top",180,"",""
"HL2","-112.7242mm","13.4323mm","Top",0,"",""
"J1","-152.73mm","-13.0707mm","Bottom",315,"",""
"LED1","-114.3435mm","7.6938mm","Top",270,"",""
"ON/OFF","-148.7925mm","-7.3254mm","Top",45,"",""
"Q4","-120.1827mm","13.84mm","Top",270,"SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR",""
"R1","-114.3435mm","4.4388mm","Top",90,"","4.7kΩ"
"R2","-116.9584mm","10.7301mm","Top",180,"","47kΩ"
"R8","-122.8433mm","10.5156mm","Top",270,"","10kΩ"
"R9","-145.656mm","3.68mm","Top",90,"","47kΩ"
"R11","-145.656mm","10.0701mm","Top",90,"","51kΩ"
"R12","-158.049mm","-1.1415mm","Top",90,"","240Ω"
"R13","-112.2249mm","-1.1415mm","Top",90,"","240Ω"
"R14","-152.8825mm","13.4323mm","Top",0,"","150Ω"
"R15","-116.8538mm","13.4323mm","Top",180,"","150Ω"
"TL1","-157.2226mm","-11.7818mm","Top",0,"",""
"TL2","-112.7242mm","-11.7818mm","Top",180,"",""
"U2","-119.9733mm","5.7638mm","Top",90,"TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL-EP-1",""
